Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DOW,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT,PFE,RTX,XOM
2/11/20,79.902496,132.630005,344.420013,136.190002,49.130001,111.209999,141.009995,48.790001,236.460007,241.639999,153.479996,67.410004,151.990005,138,59.59,215.729996,162.449997,85.25,184.440002,100.019997,124.160004,137.380005,290.790009,203.940002,58.689999,52.990002,115.400002,36.138519,97.702957,60.529999
2/12/20,81.800003,133.240005,347.450012,139.589996,49.93,112.040001,141.850006,49.380001,238.649994,241.589996,155.309998,67.459999,151.089996,138,59.41,217.460007,163.800003,83.25,184.710007,103,123.449997,135.710007,303.480011,207.440002,58.23,54.470001,115.849998,35.806454,97.658905,61.27
2/13/20,81.217499,134.460007,342.820007,139.720001,47.32,111.660004,140.899994,48.299999,238.350006,242.360001,154.309998,67.440002,150.089996,137.880005,59.610001,217.419998,159.759995,81.970001,183.710007,103.370003,124.959999,136.880005,302.200012,207.399994,58.650002,53.57,117.440002,35.037952,96.32473,60.93
2/14/20,81.237503,135.869995,340.48999,137.990005,46.970001,110.080002,139.539993,48.630001,237.080002,245.029999,150.699997,67.269997,150.130005,137.460007,59.950001,217.089996,161.009995,82.650002,185.350006,103.540001,126.139999,137.759995,298.779999,210.289993,58.509998,52.849998,117.889999,34.639469,96.576462,60.650002
2/18/20,79.75,135.600006,338.880005,136.580002,46.59,110.239998,139.139999,47.740002,233.210007,243.940002,151.100006,66.139999,149.139999,135.639999,59.529999,216.149994,158.880005,82.459999,187.229996,102,124.870003,135.880005,302.140015,211.199997,57.91,51.860001,119.629997,34.459202,95.204529,59.880001
2/19/20,80.904999,136.929993,338.299988,136.860001,46.290001,110.739998,141.300003,47.560001,237.330002,243.639999,150.860001,67.110001,148.940002,137.490005,59.77,215.630005,159.339996,82,187.279999,102.459999,125.440002,134.509995,305.309998,213.309998,58.220001,52.07,117.68,34.373814,94.826935,60.34
2/20/20,80.074997,136.580002,336.279999,136.929993,46.849998,109.809998,140.369995,48.759998,232.729996,247.020004,151.220001,65.449997,148.369995,137.490005,59.720001,215.080002,158.559998,82.489998,184.419998,102.529999,126.580002,133.979996,302.130005,211.449997,58.09,51.869999,117.690002,34.013283,94.33606,59.860001
2/21/20,78.262497,134.899994,330.380005,137.210007,46.299999,109.010002,138.970001,48.299999,230.619995,245.339996,149.839996,64.339996,149.929993,135.809998,60.130001,215.869995,156.929993,82.339996,178.589996,100.25,126.699997,135.160004,301.429993,208.809998,58.200001,51.450001,118.580002,33.889942,95.355568,59.130001
2/24/20,74.544998,128.190002,317.899994,132.169998,44,104.709999,133.009995,46.240002,224.539993,239.699997,146.429993,61.759998,145.910004,132.160004,58.650002,213.520004,152.550003,81.330002,170.889999,95.910004,123.300003,134.119995,277.790009,198.789993,57.990002,49.029999,116.32,32.893738,92.246696,56.360001
2/25/20,72.019997,120.900002,304.140015,129,42.740002,100.709999,128.190002,43.950001,217.610001,237.380005,141.710007,59.73,144.649994,126.260002,57.82,212.100006,146.850006,80.269997,168.070007,92.900002,121.43,130.789993,263.390015,188.399994,57.119999,47.509998,114.389999,32.19165,87.356827,54.200001
2/26/20,73.162498,118.5,305.589996,128.25,42.16,98.040001,123.360001,43.049999,215.779999,235.279999,139.75,59.650002,143.679993,126.639999,57.599998,210.100006,148.960007,79.940002,170.169998,92,120.160004,128.559998,263,187.210007,57.139999,47.669998,113.779999,32.941177,87.08622,53.009998
2/27/20,68.379997,112.809998,287.76001,123.269997,40.040001,94.129997,118.040001,39.549999,205.690002,224.729996,133.110001,55.830002,139.119995,121.370003,54.93,201,150.160004,78.080002,158.179993,88.550003,113.5,124.080002,253.919998,180.009995,55.060001,46.240002,110.400002,32.35294,83.184395,49.82
2/28/20,68.339996,109.93,275.109985,124.239998,39.93,93.339996,117.650002,40.41,200.770004,217.839996,130.149994,55.52,134.479996,116.110001,53.490002,194.169998,149.240005,76.559998,162.009995,89.379997,113.230003,119.809998,254.960007,181.759995,54.16,45.759998,107.68,31.707781,82.183762,51.439999
3/2/20,74.702499,113.870003,289.269989,127.599998,41.169998,96.589996,119.980003,41.419998,209.470001,229.940002,134.300003,58.18,140.020004,121.519997,55.919998,202.550003,153.020004,81.370003,172.789993,92.68,119.559998,127.68,273.109985,192.330002,57.32,48.110001,115.879997,33.092979,84.373817,53.880001
3/3/20,72.330002,108.010002,280.619995,124.379997,40.040001,94.389999,116.449997,40.560001,203.429993,227.940002,128.899994,55.970001,135.589996,116.959999,56.060001,199.509995,145.240005,79.129997,164.509995,90.93,118.169998,125.309998,261.399994,185.729996,55.700001,46.119999,112.910004,32.542694,83.404655,51.299999
3/4/20,75.684998,115.699997,283.119995,127.400002,41.389999,98.529999,119.18,41.91,208.740005,241.080002,134.220001,58.68,143.479996,119.849998,58.919998,207.020004,153.979996,82.970001,170.550003,93.790001,124.5,131.529999,289.420013,194.289993,58.119999,48.689999,116.769997,34.535103,87.501572,52.419998
3/5/20,73.230003,110.940002,260.369995,121.970001,39.57,97.190002,113.980003,40.099998,198.789993,234.809998,129.550003,56.959999,142.009995,113.970001,56.740002,198.320007,151.410004,81.580002,166.270004,90.580002,121.629997,128.020004,282.959991,186.960007,57.16,48.779999,115.919998,33.643265,79.57206,50.110001
3/6/20,72.2575,108.239998,262.329987,121.410004,39.68,95.32,115.269997,38.970001,192.850006,228.509995,127.730003,55.77,142.029999,108.080002,55.259998,198.860001,153.649994,82.199997,161.570007,88.360001,121.660004,124.839996,283.869995,184.360001,56.869999,50.509998,117.230003,33.225807,79.597229,47.689999
3/9/20,66.542503,98.290001,227.169998,104.07,37.959999,80.669998,104.349998,30.530001,172.809998,210.460007,117.809998,50.849998,136.440002,93.440002,51.860001,186.860001,144.059998,78.959999,150.619995,84.110001,116.059998,116.199997,273.440002,171.130005,55.830002,48.439999,117.160004,32.030361,72.599121,41.860001
3/10/20,71.334999,103.300003,231.009995,106.489998,40.080002,84.980003,111.459999,31.4,184.350006,225.699997,124.769997,53.98,141.639999,100.699997,53.66,199.860001,153.300003,82.019997,160.919998,88.300003,120.550003,119.57,280,182.600006,56.52,49.16,119.790001,32.817837,75.122719,43.41
3/11/20,68.857498,95.379997,189.080002,100.690002,37.049999,83.029999,105.510002,27.99,171.889999,212.889999,117.970001,51.66,131.800003,95.959999,52.209999,188.25,147.240005,79.25,153.630005,84,111.589996,112.599998,277.779999,172.949997,54.830002,46.07,114.43,30.521822,67.658905,41.98
3/12/20,62.057499,83.529999,154.839996,92.260002,33.200001,76.260002,91.809998,23.67,150.679993,190.589996,102.809998,45.540001,125.410004,88.050003,47.16,170.130005,133.580002,74.449997,139.059998,74.199997,101.839996,102.18,250.410004,160.080002,51.200001,41.02,104.050003,28.481974,64.505981,37.18
3/13/20,69.4925,99.599998,170.199997,99.639999,37.639999,83.419998,102.519997,25.690001,177.169998,205.669998,107.949997,54.43,134.289993,103.910004,48.470001,177.130005,141.679993,76.75,158.830002,75.580002,114.07,107.449997,272.040009,175.830002,54.169998,46.189999,114.099998,31.034157,66.331024,38.119999
3/16/20,60.552502,85.870003,129.610001,93.410004,33.709999,69.699997,95.010002,22,154.660004,164.960007,99.080002,44.610001,127.129997,88.360001,45.259998,149.009995,130.910004,69.919998,135.419998,66.790001,108.5,85.099998,225.039993,152.009995,50.990002,45.080002,106.760002,28.633776,57.22467,34.490002
3/17/20,63.215,86.580002,124.139999,100.199997,35.5,70.690002,93.529999,26.6,158.669998,173.639999,106.650002,50.080002,136.589996,93.760002,47.18,147.619995,134.440002,74.480003,146.570007,69.839996,118.239998,96.410004,244.220001,157.889999,54.310001,49.599998,119.260002,30.512335,58.426682,36.810001
3/18/20,61.6675,73.75,101.889999,100.120003,37.119999,55.049999,88.800003,26.440001,140.020004,155.630005,103.550003,47.610001,134.960007,83.889999,44.849998,137.300003,137.020004,71.629997,140.399994,68.040001,117.449997,81.690002,217.059998,148.479996,54.32,52.810001,122.580002,30.702087,49.968533,33.119999
3/19/20,61.195,77.07,97.709999,103.010002,37.709999,57.389999,94.93,28.120001,149.490005,161.130005,100.339996,45.939999,127.050003,85.300003,41.830002,149.5,137.509995,70.730003,142.710007,70.339996,110.830002,86.07,219.800003,152.25,53.619999,48.549999,119.449997,28.861481,52.712399,34.43
3/20/20,57.310001,74.120003,95.010002,95.5,35.599998,59.389999,85.980003,27.440001,138.410004,152.149994,95.389999,45.830002,119.889999,83.5,38.299999,148.490005,124.889999,71.360001,137.350006,67.449997,102.43,89.510002,206.589996,146.830002,51.799999,46.419998,113.970001,27.52372,51.938328,32.740002
3/23/20,56.092499,68.959999,105.620003,91.849998,34.599998,54.220001,85.760002,26.58,134.970001,162.389999,94.769997,49.580002,111.139999,79.029999,37.560001,137.100006,117.870003,66.400002,135.979996,62.799999,97.699997,88.360001,194.860001,135.740005,50.310001,43.610001,114.279999,27.030361,47.16803,31.450001
