Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DD,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM
2/11/19,169.429993,105.410004,403.950012,128.929993,47.580002,116.949997,109.440002,74.010025,191.330002,182.919998,133.990005,48.77,132,132,49.610001,174.259995,200.910004,76.709999,105.25,83.68,41.68,98.269997,125.419998,257.140015,122.720001,140.800003,54.049999,70.470001,96.199997,74.099998
2/12/19,170.889999,107,410.720001,132.669998,47.889999,118.720001,109.199997,75.945671,194.490005,185.520004,136.050003,50.009998,134.160004,134.160004,49.66,173.970001,206.570007,78.519997,106.889999,84.709999,41.869999,99.260002,127.260002,263.5,123.980003,141.990005,54.419998,71.559998,96.970001,75.400002
2/13/19,170.179993,107.559998,410.579987,133.100006,47.5,119.57,110.199997,75.632553,194.690002,188.410004,137.520004,50.470001,134.449997,134.449997,49.790001,174.149994,209.720001,79.019997,106.809998,85.400002,41.700001,99.239998,128.039993,263.799988,124.419998,143.490005,54.48,72.43,97.940002,76.25
2/14/19,170.800003,106.620003,409.820007,132.619995,48.400002,118.160004,110.660004,74.949387,192.529999,187.710007,136.479996,50.810001,134.309998,134.309998,45.59,175.869995,204.929993,78.940002,106.900002,84.68,41.970001,98.459999,126.93,265.329987,124.129997,143.160004,54.029999,72.110001,98.519997,76.269997
2/15/19,170.419998,107.379997,417.970001,136.199997,49.43,119.349998,112.589996,77.198151,198.5,192.389999,138.029999,51.66,136.380005,136.380005,45.240002,179.970001,208.860001,79.809998,108.220001,85.379997,42.400002,98.480003,128.740005,271.130005,127.760002,144.910004,55.16,73.43,99.989998,77.709999
2/19/19,170.929993,106.5,416.26001,135.800003,49.650002,119.309998,113.510002,77.696297,198.669998,192.330002,138.699997,51.400002,135.690002,135.690002,44.830002,179.25,208.410004,79.239998,108.169998,84.57,42.599998,99.989998,129.100006,270.410004,128.639999,144.440002,55.439999,74.43,102.199997,78.230003
2/20/19,172.029999,106.779999,421.549988,140.309998,49.630001,120.279999,113.68,80.044693,198.600006,191.850006,138,51.389999,136.350006,136.350006,45.099998,180.490005,208.529999,79.43,107.150002,84.839996,42.200001,99.279999,129.740005,269.51001,128.429993,144.729996,55.759998,71.800003,99.879997,78.529999
2/21/19,171.059998,106.610001,417.579987,138.880005,49.41,119.139999,114.290001,78.649887,196.360001,191.820007,137.839996,51.41,135.419998,135.419998,45.860001,182.809998,207.770004,79.830002,109.410004,83.949997,42.139999,99.779999,129.820007,266.399994,126.32,144,56.150002,70.470001,99.389999,77.82
2/22/19,172.970001,107.440002,424.049988,138.679993,50.110001,119.389999,115.25,78.237137,196,192.389999,139.25,52.490002,136.600006,136.600006,45.279999,183.169998,209.350006,80.769997,110.970001,84.760002,42.959999,100.25,131.020004,267.109985,127.769997,145.869995,56.919998,70.43,99.550003,78.419998
2/25/19,174.229996,106.93,426.869995,141.410004,50.790001,119.620003,113.589996,79.816971,198.649994,189.979996,139.460007,53.099998,136.199997,136.199997,44.939999,182.610001,210.580002,80.379997,111.589996,85.169998,43.080002,99.57,132.490005,264.600006,128.270004,146.059998,56.779999,71.309998,99.120003,78.5
2/26/19,174.330002,106.940002,426.769989,137.979996,51.18,119.940002,113.5,79.53231,198.899994,188.300003,139.720001,53.23,136.110001,136.110001,44.689999,183.210007,209.380005,80.739998,112.360001,85.800003,43.02,99.830002,133.270004,262.980011,127.190002,147.039993,56.639999,71.480003,98.690002,78.660004
2/27/19,174.869995,107.419998,435.440002,139.580002,51.59,120.080002,112.779999,77.881317,198.100006,183.669998,139.169998,53.240002,135.869995,135.869995,44.939999,183.360001,209.029999,80.620003,112.169998,86.169998,42.93,98.910004,132.619995,250.080002,126.900002,147.220001,56.720001,71.370003,98.110001,79.470001
2/28/19,173.149994,107.739998,439.959991,137.339996,51.77,119.580002,112.839996,75.760651,196.699997,185.139999,138.130005,52.959999,136.639999,136.639999,45.34,183.839996,207.389999,81.290001,112.029999,85.730003,43.349998,98.550003,132.910004,242.220001,125.669998,148.119995,56.919998,71.190002,98.989998,79.029999
3/1/19,174.970001,108.900002,440.619995,137.470001,51.41,122.029999,114.010002,75.917206,198.199997,185.169998,139.199997,53.299999,138.350006,138.350006,45.380001,185.050003,207.490005,81.650002,112.529999,87.160004,43.360001,98.440002,133.029999,246.149994,125.769997,149.470001,56.959999,66.610001,97.93,80
3/4/19,175.850006,109,432.690002,138.350006,51.16,122.120003,114.330002,77.212387,195.979996,183.809998,138.429993,53.939999,138.479996,138.479996,45.650002,180.589996,206.860001,81.370003,112.260002,85.639999,43.07,98.870003,132.149994,236.020004,125.739998,147.960007,56.240002,64.739998,97.849998,80.309998
3/5/19,175.529999,108.849998,430.119995,137.139999,51.299999,123.290001,114,76.401123,196,184,137.880005,53.68,138.770004,138.770004,45.599998,181.350006,203.839996,81.699997,111.699997,85.440002,42.889999,99.089996,132.690002,241.429993,125.940002,147.949997,56.080002,63.400002,98.339996,80.190002
3/6/19,174.520004,108.980003,424.459991,134.830002,51.669998,123.529999,114.849998,77.525505,194.740005,184.449997,136.979996,52.950001,139.089996,139.089996,45.450001,182.029999,202.800003,80.760002,111.75,85.129997,41.860001,98.93,131.800003,239.070007,125.389999,147.809998,55.68,61.099998,98.260002,79.279999
3/7/19,172.5,107.860001,422.559998,132.800003,51.290001,121.940002,114.010002,77.596664,192.770004,182.509995,135.360001,52.599998,138.240005,138.240005,45.279999,180.520004,199.860001,80.449997,110.389999,85.260002,41.389999,98.550003,131.490005,236.699997,124.459999,146.830002,56.299999,59.790001,97.449997,80.160004
3/8/19,172.910004,107.980003,422.540009,131.350006,51.07,121.620003,113.809998,77.824333,195.240005,181.229996,135.089996,52.48,138.059998,138.059998,44.84,179.5,200.889999,79.800003,110.510002,84.800003,40.889999,98.410004,131.020004,237.289993,124.019997,147.350006,56.529999,59.900002,97.589996,79.010002
3/11/19,178.899994,109.559998,400.01001,133.110001,51.919998,123.620003,114.75,79.105278,195.970001,182.440002,137.710007,53.349998,138.559998,138.559998,46.18,181.080002,207.100006,80.870003,112.830002,85.82,41.5,99.580002,131.869995,243.149994,126.010002,150.669998,57.580002,60.68,98.480003,79.779999
3/12/19,180.910004,110.43,375.410004,132.479996,52.150002,123.900002,114.730003,79.091042,196.630005,184,138.279999,53.57,139.179993,139.179993,46.049999,181.830002,205.800003,81.230003,113.620003,85.43,41.73,100.050003,132.720001,245.880005,124.669998,151.729996,57.43,61,98.370003,80
3/13/19,181.710007,112.139999,377.140015,133.5,52.59,124.669998,114.089996,79.560722,197.25,181.139999,138.559998,54.369999,139.410004,139.410004,46.220001,182.059998,206.660004,81.599998,114.5,85.93,42.009998,101.18,133,252.25,126.639999,152.470001,57.66,61.900002,99.029999,80.709999
3/14/19,183.729996,112.349998,373.299988,133.690002,52.740002,124.599998,114.480003,78.322479,197.470001,181.610001,138.789993,53.439999,138.020004,138.020004,45.700001,182.740005,207.380005,81.489998,114.589996,86.870003,41.189999,101.32,133.059998,253.270004,126.889999,154.199997,57.950001,61.82,98.220001,80.440002
3/15/19,186.119995,113.519997,378.98999,132.669998,53.200001,125.309998,114.959999,78.678299,198.259995,182.229996,139.429993,54.330002,137.600006,137.600006,45.299999,185.330002,208.080002,81.57,115.910004,86.800003,41.779999,102.440002,134.179993,251.399994,125.919998,155.460007,58.389999,62.630001,98.419998,80.150002
3/18/19,188.020004,113.550003,372.279999,134.100006,53.509998,125.879997,113.120003,78.578667,202.470001,183.419998,140.210007,54.099998,137.169998,137.169998,45.41,183.949997,208.490005,81.349998,117.57,87.82,41.810001,101.510002,134.940002,255,126.900002,154.960007,58.07,63.080002,99.660004,81.080002
3/19/19,186.529999,112.669998,373.429993,134.149994,53.310001,125.279999,110,78.393639,201.119995,184.130005,140.490005,54.169998,138.440002,138.440002,45.560001,183.110001,209.020004,81.910004,117.650002,87.690002,42.299999,101.900002,132.929993,257.130005,126.510002,154.589996,57.5,63.77,99.849998,80.870003
3/20/19,188.160004,110.769997,376.160004,133.009995,53.259998,124.690002,109.989998,78.294014,194.320007,186.100006,139.600006,53.82,137.289993,137.289993,45.529999,184.970001,208.300003,82.080002,117.519997,86.690002,42.169998,101.720001,131.330002,250.5,125.309998,153.75,57.669998,62.790001,98.639999,81.32
3/21/19,195.089996,111.82,372.700012,134.059998,53.939999,125.860001,108.660004,79.589188,194.580002,189.970001,141.440002,54.639999,138.100006,138.100006,45.509998,186.369995,209.610001,82.949997,120.220001,88.010002,42.349998,102.489998,134.369995,252.020004,126.879997,155.800003,58.290001,63.599998,99.059998,81.790001
3/22/19,191.050003,109.459999,362.170013,129.770004,52.740002,123.089996,108.230003,76.742653,188.960007,188.75,139.449997,53.259998,136.910004,136.910004,45.93,186.809998,204.660004,82.290001,117.050003,82.190002,41.849998,101.660004,134.899994,247.089996,125.150002,153.070007,59.759998,62.41,98.279999,80.480003
3/25/19,188.740005,109.040001,370.459991,131.380005,52.73,122.889999,107.790001,75.817528,188.509995,189.679993,139.179993,52.779999,136.610001,136.610001,46.029999,185.720001,203.210007,82.349998,117.660004,82.330002,41.889999,101.959999,134.949997,246.860001,125.400002,153.029999,60.080002,61.689999,98.169998,79.919998
3/26/19,186.789993,109.5,370.380005,131.839996,53.23,124.129997,110.139999,75.68943,190.690002,189.339996,140.220001,53.439999,138.570007,138.570007,46.639999,187.479996,207.240005,82.919998,117.910004,83.379997,42.419998,103.019997,134.979996,243.389999,126.139999,155.300003,60.630001,61.919998,98.32,80.959999
3/27/19,188.470001,108.980003,374.209991,131.199997,53.139999,122.790001,110.279999,74.949333,190.029999,189.25,139.240005,53.16,138.699997,138.699997,46.610001,187.509995,207.160004,82.290001,116.769997,83.089996,42.02,102.900002,136.350006,241.710007,126.300003,154.220001,60.880001,62.23,97.209999,80.339996
3/28/19,188.720001,109.160004,374.440002,132.369995,53.360001,123.019997,110.709999,75.034729,191.179993,190.059998,139.919998,53.110001,138.880005,138.880005,46.580002,189.389999,208.529999,82.629997,116.93,84.040001,42.290001,103.550003,136.899994,242.229996,127.269997,154.669998,59.080002,62.509998,97.129997,80.739998
3/29/19,189.949997,109.300003,381.420013,135.490005,53.990002,123.18,111.029999,75.874458,191.990005,191.889999,141.100006,53.700001,139.789993,139.789993,46.860001,189.899994,207.779999,83.169998,117.940002,84.209999,42.470001,104.050003,137.160004,247.259995,128.889999,156.190002,59.130001,63.27,97.529999,80.800003
4/1/19,191.240005,111.699997,391.540009,140.25,54.98,124.940002,112.510002,77.454285,196.740005,195.639999,143.300003,54.509998,138.979996,138.979996,46.720001,188.389999,211.940002,83.300003,119.019997,85.230003,42.84,103.639999,138.020004,245.539993,133.190002,157.259995,59.09,63.490002,97.82,81.730003
4/2/19,194.020004,111,390.75,140.190002,55.290001,124.93,111.959999,77.227516,197.5,194.309998,143,54.360001,137.710007,137.710007,46.57,188.350006,212.130005,83.209999,119.190002,84.370003,42.91,103.75,136.809998,244.410004,131.899994,157.779999,58.529999,55.360001,96.940002,81.379997
4/3/19,195.350006,110.559998,384.73999,139.259995,55.630001,123.889999,112.519997,79.047623,200.860001,198.610001,143.630005,55.48,137.169998,137.169998,46.18,188.350006,213.130005,83.18,119.970001,84.470001,42.84,103.690002,136.600006,245.839996,131.309998,158.460007,58.869999,54.84,97.190002,80.900002
4/4/19,195.690002,110.120003,395.859985,140.130005,55.139999,124.800003,114.75,79.957672,202.229996,200.449997,142.779999,55.919998,135.570007,135.570007,46.48,189.869995,215.029999,81.849998,119.360001,85.279999,42.740002,103.43,136.520004,247.389999,132.699997,157.639999,58.990002,54.150002,98.110001,82.050003
4/5/19,197,110.959999,391.929993,140.360001,55.209999,126.419998,115,80.211639,202.380005,202.059998,143.279999,55.599998,136.179993,136.179993,46.470001,190.710007,215.410004,81.150002,119.889999,85.400002,42.990002,103.650002,136.399994,248.779999,133.720001,157.649994,59.09,54.689999,98.830002,82.489998
4/8/19,200.100006,110.699997,374.519989,139.820007,55.490002,126.68,114.959999,80.719574,202.539993,203.550003,143.389999,55.68,136.139999,136.139999,46.549999,189.850006,215.020004,80.949997,119.93,84.730003,43.139999,104.970001,135.880005,248.75,133.559998,157.75,59.130001,55.060001,99.230003,83
4/9/19,199.5,109.849998,369.040009,136.350006,55.18,125.540001,116.860001,80.888885,200.619995,200.899994,142.110001,55.32,135.570007,135.570007,46.669998,190.080002,211.960007,80.800003,119.279999,84.279999,42.84,104.660004,135.190002,248.789993,132.25,157.490005,58.400002,54.5,98.690002,81.93
4/10/19,200.619995,110.160004,364.940002,137.529999,55.82,125.489998,117.160004,81.481483,202.979996,199.429993,143.020004,55.75,135.580002,135.580002,46.639999,189.220001,212.110001,80.82,120.190002,84.879997,42.73,104.650002,135.460007,246.029999,131.660004,158.559998,58.610001,54.509998,99.599998,81.559998
